"x"
"Porque aca hay muchas personas que tienen prestamos grupales y muchas veces las otras personas quedan mal, y nosotros que si pagamos bien, quedamos debiendo por ellos                                                                                         "
"porque son muy rateros, cobran mucho de interés y aparte si te atrasas casi te doblan la suma que debes                                                                                                                                                       "
"mucha tasa de interés                                                                                                                                                                                                                                         "
"Pues porque es el banco que maneja el interés más alto y presta muy poca cantidad.                                                                                                                                                                           "
"sus intereses son muy elevados                                                                                                                                                                                                                                 "
"siento que no es de confianza                                                                                                                                                                                                                                  "
"no me da confianza ese banco ademas considero q sus intereses son altos                                                                                                                                                                                        "
"porque si                                                                                                                                                                                                                                                      "
"cobran mucho me dejan en la calle son muchos intereses                                                                                                                                                                                                         "
"No me gustan los prestamos en ningun banco, porque venimos pagando más del doble del dinero que nos dieron, por eso trato de siempre tener un dinero guardado para no repagar tanto                                                                           "
"Porque son muy elevados y duras mucho tiempo pagando y genera más interés                                                                                                                                                                                    "
"porque no tiene a un la necesidad de hacerlo                                                                                                                                                                                                                   "
"porque piensa que le suben mucho a sus cuentas                                                                                                                                                                                                                 "
"porque piensa que le cobrarían de más                                                                                                                                                                                                                        "
"porque no le gusta ese banco                                                                                                                                                                                                                                   "
"No le agrada el sistema                                                                                                                                                                                                                                        "
"tasa de interés alta                                                                                                                                                                                                                                          "
"se paga mucho                                                                                                                                                                                                                                                  "
"no me gustan ese banco porque extienden los prestamos más de 10000, y queda uno endeudado por 3 o más años, en cambio en Banco Azteca,puedo sacar desde $1000, y rapido lo termino de pagar                                                                 "
"no hay sucursales ni si quiera en el estado                                                                                                                                                                                                                    "
"me han platicado que tiene intereses muy altos y que te deja pobre                                                                                                                                                                                             "
"Cuando quize sacar un crédito erá muy caro.                                                                                                                                                                                                                  "
"Por los pocos servicios que ofrece                                                                                                                                                                                                                             "
"Por la taza de interés.                                                                                                                                                                                                                                       "
"Tienes malas referencias de sus crèditos.                                                                                                                                                                                                                     "
"Por la taza de interés muy elevados                                                                                                                                                                                                                           "
"Es muy caro la taza de interés que ofrece el banco y de baja rwputación                                                                                                                                                                                      "
"Por lo caro que sale en obtener un crédito                                                                                                                                                                                                                    "
"Se me hace una exageración todo lo que te llegan a cobrar por un crédito que a veces es mas del doble.                                                                                                                                                       "
"porque debe, y porque no hay sucursales cercanas                                                                                                                                                                                                               "
"porque puedo sacar un crédito y ir pagando poco a poco                                                                                                                                                                                                        "
"pienso que podría ser una empresa que podría desaparecer                                                                                                                                                                                                     "
"por que no lo conozco prefiero uno que sepa que beneficios obtengo                                                                                                                                                                                             "
"no sabia que existia                                                                                                                                                                                                                                           "
