FRASEO,P12a_COD1,P12a_COD2
porque son altos los intereses y piden muchos requisitos                                                                                                                                                                                                       ,LOS INTERESES SON ALTOS,PIDEN MUCHOS REQUISITOS
Es un banco que no conoce                                                                                                                                                                                                                                      ,FALTA INFORMACIÓN DEL BANCO,
es caro                                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
Muy altos intereses y al servicio                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
Tengo muy malos comentarios sobre esa empresa                                                                                                                                                                                                                  ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
Siento que sus tasas de interés son muy pequeñas no me satisface además de que es un Banco muy pequeño                                                                                                                                                     ,NO ME INTERESA UN CRÉDITO,
no tengo nada en contra de ningún banco                                                                                                                                                                                                                       ,NO SABE/NO CONTESTO,
"por experiencia propia no es,pero mi papa tuvo problema con ese banco te repito yo no tengo cuenta en ningun banco                                                                                                                                             ",ME HAN DADO MALAS REFERENCIAS DEL BANCO,
por comentarios que eh escuchado de conocidos sus servicios son muy caros como creditos o prestamos no convienen                                                                                                                                               ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
desconosco como operen en cuanto prestamos interes tazas de interes y sus servicios en general y creo que no tiene mucho la empresa                                                                                                                            ,FALTA INFORMACIÓN DEL BANCO,
en la escuela nos dieron una para estudiantes nunca la use y al año m estaban cobrando anualidad y noc q tanto más pesimo banco                                                                                                                              ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
siento que sus servicios son para gente de dinero y muy probablemente no me lo darian                                                                                                                                                                          ,ES UN BANCO PARA GENTE RICA,
yo tenia entendido que ya no existia y no es banco                                                                                                                                                                                                             ,FALTA INFORMACIÓN DEL BANCO,
dan el mismo servicio todos los bancos                                                                                                                                                                                                                         ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
no conozco de creditos                                                                                                                                                                                                                                         ,FALTA INFORMACIÓN DEL BANCO,
"Porque tengo una conocida que se atraso mucho con sus pagos, se le triplico la cantidad con tantos intereses, y se quedo muy endeudada, así que por las malas experiencias que e escuchado, no me agradaria                                                   ",LOS INTERESES SON ALTOS,
"ni es confiable, tiene muy pocas sucursales y no es un banco confiable                                                                                                                                                                                         ",NO ME DA CONFIANZA,TIENE POCAS SUCURSALES/CAJEROS
podría solicitarlo en el que sea                                                                                                                                                                                                                              ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
"Porque eh leido folleto, que hay prestamos que pueden quedar autorizados al instante, y eso es bueno para cuando se nos presenten improvistos, en otros lugares tardan hasta una semana para que lo autorizen                                                  ","NO TENGO PROBLEMA, SI LO SOLICITARIA",
Porque no tengo conocimiento de los beneficios que cobra                                                                                                                                                                                                       ,FALTA INFORMACIÓN DEL BANCO,
una vez solicite creito ahi y me respondieron un mes después solo para decirme que no y yo tuve que llamar y me urgia porque tenia una necesidad                                                                                                              ,MALA ATENCIÓN Y SERVICIO,
porque una vez saque algo lo pague y dicen que lo debo y me siguen cobrando                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
porque no me ds confianza ni seguridad                                                                                                                                                                                                                         ,NO ME DA CONFIANZA,
pienso que es una banco caro y cobran por todo                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
no lo conozco y no hay aqui ese banco                                                                                                                                                                                                                          ,FALTA INFORMACIÓN DEL BANCO,TIENE POCAS SUCURSALES/CAJEROS
Porque los intereses son muy grandes                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
cobran muy caro y no me da confianza                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,NO ME DA CONFIANZA
ya tuve y cobran muchos intereses además por todo te cobran hasta por la tarjeta de plastico la verdad no me gusto ya no volveria a sacarla ahi                                                                                                               ,LOS INTERESES SON ALTOS,
"no hay muchos bancos en mi pueblo de ese, tendría que ir a puebla                                                                                                                                                                                             ",TIENE POCAS SUCURSALES/CAJEROS,
es del Grupo Salinas y no comparto las ideas de ellos                                                                                                                                                                                                          ,NO ME GUSTA EL BANCO,
"es muy caro todo, y también pienso que por el préstamo te cobran muchos intereses                                                                                                                                                                            ",LOS INTERESES SON ALTOS,
"costoa muy elebados en lo que biene siendo el interes sobre el prestamo,                                                                                                                                                                                       ",LOS INTERESES SON ALTOS,
muy caro sus mensualidades                                                                                                                                                                                                                                     ,LOS INTERESES SON ALTOS,
"los requisitos que te piden, no estan a mi alcanse y no cuento con ningun tipo de tarjeta en bancomer                                                                                                                                                          ",PIDEN MUCHOS REQUISITOS,
"No me gusta ese banco, se me hace chafa                                                                                                                                                                                                                        ",NO ME GUSTA EL BANCO,
Mis papás me platicaron que algúna vez tuvieron una tarjeta.de credito y es muy caro                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
Pues a mi vecina pidió credito y dice que es muy caro.y además no me gustan los bancos                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
"No me interesa ningun servicio de banco, te metes en.problemás                                                                                                                                                                                                ",NO ME GUSTA EL BANCO,
no cubro el plaso adecuado para adquirir un credito en coopel                                                                                                                                                                                                  ,POR LOS PLAZOS Y FRECUENCIA DE PAGOS,
no suena mucho esta banco                                                                                                                                                                                                                                      ,FALTA INFORMACIÓN DEL BANCO,
no cuento con una tarjeta de ese banco                                                                                                                                                                                                                         ,NO SOY SUJETO DE CRÉDITO,
no lo he escuchado                                                                                                                                                                                                                                             ,TIENE POCAS SUCURSALES/CAJEROS,
soy comerciante y no soy sujeto de.prestamos y además no me.interesa                                                                                                                                                                                          ,NO SOY SUJETO DE CRÉDITO,NO ME INTERESA UN CRÉDITO
te cobran mucho interes                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
cobroa muy elebados en su interes                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
me an comentado que los intereses son muy altos y esta muy propenso a embargo                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
la taza de interes es muy alta                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
suben mucho los intereses                                                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
no hay famsa en caborca                                                                                                                                                                                                                                        ,TIENE POCAS SUCURSALES/CAJEROS,
"No me.interesa, no quiero meterme con bancos                                                                                                                                                                                                                   ",NO ME GUSTA EL BANCO,
No es un Banco muy usual bueno almenos no aquí en la región ya que hay muy pocos aquí en esta zona                                                                                                                                                          ,TIENE POCAS SUCURSALES/CAJEROS,
"No lo necesito, estoy bien con mi pension y ya no tengo la edad                                                                                                                                                                                                ",NO ME INTERESA UN CRÉDITO,NO SOY SUJETO DE CRÉDITO
demasiada taza de interes y muy mal servicio en atencion                                                                                                                                                                                                       ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
"no se, todos me dan igual                                                                                                                                                                                                                                      ",NO SABE/NO CONTESTO,
no cuento con la tarjeta adecuada                                                                                                                                                                                                                              ,NO SOY SUJETO DE CRÉDITO,
no tiene muchas vebtajas en el modo de pago. y mucha interes mensual                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
comenta que tienen una mala manera de dar prestamos                                                                                                                                                                                                            ,MALA ATENCIÓN Y SERVICIO,
Mi madre saco una televisión a crédito y entonces los intereses que ella pago fueron muy altos que la tele.                                                                                                                                                  ,LOS INTERESES SON ALTOS,
Es un banco que no conozco por lo tanto no lo haría.                                                                                                                                                                                                          ,FALTA INFORMACIÓN DEL BANCO,
Los intereses de un crédito vencido son muy altos.                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
Mi tío solicito crédito para una moto y toda vía no la acaba de terminar de pagar y me cuenta que son muy caros los intereses que paga cuando se vencen y es por ello que no desearía tener un crédito de Banco Azteca.                                   ,LOS INTERESES SON ALTOS,
"No es de mi agrado el Banco, osea, no me interesa sus servicios.                                                                                                                                                                                               ",NO ME GUSTA EL BANCO,
Desconozco los servicios que ofrecen.                                                                                                                                                                                                                          ,FALTA INFORMACIÓN DEL BANCO,
comenta que es un banco de mucho prestigio y que no a cualquiera le dan un prestamo                                                                                                                                                                            ,ES UN BANCO PARA GENTE RICA,
dicen que molestan mucho cuando te atrasas un poco en sus pagos                                                                                                                                                                                                ,MALA ATENCIÓN Y SERVICIO,
no hay un banco Scotiabank por aquí cerca y seria complicado retirar de un cajero.                                                                                                                                                                            ,TIENE POCAS SUCURSALES/CAJEROS,
comenta que es un banco que no se da a conocer mucho y que solo ofrecen créditos sin promocionarse                                                                                                                                                            ,FALTA INFORMACIÓN DEL BANCO,
mal servicio                                                                                                                                                                                                                                                   ,MALA ATENCIÓN Y SERVICIO,
en coopel no porque no da mucha accebilidad en los pagos                                                                                                                                                                                                       ,POR LOS PLAZOS Y FRECUENCIA DE PAGOS,
buscaria un banco con mas facilidades                                                                                                                                                                                                                          ,PIDEN MUCHOS REQUISITOS,
alta taza debinteres                                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
Dice que no sabe                                                                                                                                                                                                                                               ,NO SABE/NO CONTESTO,
no creo que tenga un alto límite de crédito para algúna emergencia                                                                                                                                                                                          ,NO CUBRE MIS NECESIDADES,
demasiado intereses                                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
por los pagos con intereses                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
altisimo interes en prestamos de poco dinero                                                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
"No me gusta los bancos, las personas que conozco están endeudadas y los intereses son altos                                                                                                                                                                   ",LOS INTERESES SON ALTOS,
alto interes anual                                                                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
por su mala atención y muy caro Interes aparte de que no hay muchos y donde había no hay cajeros                                                                                                                                                             ,MALA ATENCIÓN Y SERVICIO,LOS INTERESES SON ALTOS
comenta que hace tiempo pidio un préstamo y que el interés era muy alto y los cobradores a cada rato le llevaban amenazas en hojas                                                                                                                           ,LOS INTERESES SON ALTOS,
Porque he escuchado comentarios de algunas tias que dicen que los intereses son muy altos                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
conozco muy poco sobre los servicios que ofrese                                                                                                                                                                                                                ,FALTA INFORMACIÓN DEL BANCO,
sus pagos piden intereses que no me convienen                                                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
no hay sucursales de ahí aqui pero son muy sucias estas                                                                                                                                                                                                       ,TIENE POCAS SUCURSALES/CAJEROS,
no respondio                                                                                                                                                                                                                                                   ,NO SABE/NO CONTESTO,
creo que pagaria mucho de intereses                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
Por sus altos intereses                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
por el interés elevado que tienen todos los bancos                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
no me aceptan me dicen que mis papeles no pasan ya lo intente 3 veces                                                                                                                                                                                          ,PIDEN MUCHOS REQUISITOS,
no tengo nada en contra de algún banco                                                                                                                                                                                                                        ,NO SABE/NO CONTESTO,
no hay aca en coita solo en tuxtla no se podria abrir una cuenta de credito ahi                                                                                                                                                                                ,TIENE POCAS SUCURSALES/CAJEROS,
no me dan confianza                                                                                                                                                                                                                                            ,NO ME DA CONFIANZA,
no cuanto con una cuenta en dicho banco                                                                                                                                                                                                                        ,NO ME INTERESA UN CRÉDITO,
por que te cobran de más y no tiene buen sistema                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
suben mucho el interes                                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
"las experiencias que me an relatado sobre el banco ese, terminas paganfp el foble                                                                                                                                                                              ",LOS INTERESES SON ALTOS,
comenta que nunca le han aprobado un crédito que por su historial                                                                                                                                                                                             ,NO SOY SUJETO DE CRÉDITO,
"me mandaron a buro de credito porque no pagué, pero me estaban cobrando de más y ya no pagaué son unos rateros                                                                                                                                              ",LOS INTERESES SON ALTOS,
Porque cobran mucho interés y malas experiencias de algunos familiares                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
Ni hay uno sercano a mi domicilio                                                                                                                                                                                                                              ,TIENE POCAS SUCURSALES/CAJEROS,
alta taza de interes y los abonos mensuales muy altos y mi bolsillo no los cubriria                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
no hay en caborca                                                                                                                                                                                                                                              ,TIENE POCAS SUCURSALES/CAJEROS,
porque aqui no ahy                                                                                                                                                                                                                                             ,TIENE POCAS SUCURSALES/CAJEROS,
no sacaría un credito con un banco que no se encuentre en la cabecera municipal                                                                                                                                                                               ,NO SABE/NO CONTESTO,
es muy caro su tasa                                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
piden muchas cosas para entrar y si no pagas t suben interes sobre interes y si no hasta la carcel te meten me han recomendado que no pida ahi                                                                                                                 ,LOS INTERESES SON ALTOS,
tuve problemás con ese banco                                                                                                                                                                                                                                  ,MALA ATENCIÓN Y SERVICIO,
por que es un banco que mucho se han quejado por el interés                                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
Pues porque es un engaño hacia el consumidor                                                                                                                                                                                                                  ,NO ME DA CONFIANZA,
me han contado malas experiencias sobre ese banco                                                                                                                                                                                                              ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
no me inspira confianza                                                                                                                                                                                                                                        ,NO ME DA CONFIANZA,
me han dicho que tardan mucho en pagar                                                                                                                                                                                                                         ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
tardan mucho para dar la tarjeta                                                                                                                                                                                                                               ,MALA ATENCIÓN Y SERVICIO,
no he escuchado mucho sobre ese banco y hay otros bancos donde brindas mas publicidad y mas informacion                                                                                                                                                        ,FALTA INFORMACIÓN DEL BANCO,
mucha taza de interes y los abonos mensualea son muy elebados                                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
"la tasa de intereses son muy altos, y los cobradores son molestos y nada educados al momento de notificar ya que me ha tocado con familiares vivir una experiencia asi                                                                                         ",LOS INTERESES SON ALTOS,
una discucion q acabo en golpes con una persona de ahi gente con poca educacion y ppco preparada nunca volveria a ese banco                                                                                                                                    ,MALA ATENCIÓN Y SERVICIO,
tiene intereses demásiados elevados                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
porque tienen un interés muy alto                                                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
porque no lo conosco                                                                                                                                                                                                                                           ,FALTA INFORMACIÓN DEL BANCO,
lo desconozco                                                                                                                                                                                                                                                  ,FALTA INFORMACIÓN DEL BANCO,
queda lejos un Scotiabank de donde yo vivo                                                                                                                                                                                                                     ,TIENE POCAS SUCURSALES/CAJEROS,
es muy caro su tasa de interés                                                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
no hay muchos cajeros automaticos son muy escasos y tambien hay pocos bancos                                                                                                                                                                                   ,TIENE POCAS SUCURSALES/CAJEROS,
No me gusta como trabajan prefiero estar con un Banco nación a e internaciona                                                                                                                                                                                 ,NO ME GUSTA EL BANCO,
por que dicen que tardan mucho en acabar de pagar                                                                                                                                                                                                              ,POR LOS PLAZOS Y FRECUENCIA DE PAGOS,
por que me trasmite confianza y tengo malos comentarios                                                                                                                                                                                                        ,NO ME DA CONFIANZA,
por que es un banco que no tiene mucho tiempo                                                                                                                                                                                                                  ,NO ME DA CONFIANZA,
no es muy conocida                                                                                                                                                                                                                                             ,FALTA INFORMACIÓN DEL BANCO,
siento que no se mucho del banco                                                                                                                                                                                                                               ,FALTA INFORMACIÓN DEL BANCO,
no me llama la atención ese banco                                                                                                                                                                                                                             ,NO ME GUSTA EL BANCO,
Creo que ese tipo de bancos son muy caros los intereses                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
siempre hay una persona en la puerta de mi casa pidiendo que vaya a pagar cuando ya se.que son las cosas que debo hacer                                                                                                                                        ,MALA ATENCIÓN Y SERVICIO,
siento que es muy difícil  poder realizar mis pagos con ellos                                                                                                                                                                                                 ,POR LOS PLAZOS Y FRECUENCIA DE PAGOS,
en ninguno                                                                                                                                                                                                                                                     ,NO SABE/NO CONTESTO,
nunca he escuchado sobre las tasas de intereses que maneje                                                                                                                                                                                                     ,FALTA INFORMACIÓN DEL BANCO,
no se me hace un banco seguro                                                                                                                                                                                                                                  ,NO ME DA CONFIANZA,
dan muy poco y cobran mucha tasa                                                                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
por que no es un banco reconocido                                                                                                                                                                                                                              ,NO ME DA CONFIANZA,
Es un Banco Nacional y  viajo al extranjero no me convendría                                                                                                                                                                                                  ,NO CUBRE MIS NECESIDADES,
no lo conozco no sabria como tener un credito o dq se trata nunca habia escuchado d ese                                                                                                                                                                        ,NO SABE/NO CONTESTO,
por que tiene muy alto el interés y no dejan progresar                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
no siento que sea un tipo de banco muy seguro para mi dinero                                                                                                                                                                                                   ,NO ME DA CONFIANZA,
"con ninguno, se maneja mucho dinero y son muy tardado                                                                                                                                                                                                          ",NO ME INTERESA UN CRÉDITO,
no tengo mucha informacion sobre el                                                                                                                                                                                                                            ,FALTA INFORMACIÓN DEL BANCO,
por que tiene muy pocos bancos en la.zona centro no hay cercas bancos ami alcanze                                                                                                                                                                              ,TIENE POCAS SUCURSALES/CAJEROS,
ese banco me da desconfianza  y cobran mucho impuestos                                                                                                                                                                                                         ,NO ME DA CONFIANZA,LOS INTERESES SON ALTOS
"Porque los intereses son altos, y porque conozco a personas que tuvieron crédito y no me lo recomendaron                                                                                                                                                      ",LOS INTERESES SON ALTOS,
nunca me han querido hacer un prestamo por mi condicion social                                                                                                                                                                                                 ,NO SOY SUJETO DE CRÉDITO,
mucho cobro de interes                                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
no lo conosco                                                                                                                                                                                                                                                  ,FALTA INFORMACIÓN DEL BANCO,
porque cuando vas a solicitar una targeta quieren involucrarte muchos de sus productos                                                                                                                                                                         ,MALA ATENCIÓN Y SERVICIO,
la tasa de interes es muy baja                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
cobran manutenciones y cada vez quieren que solicites de sus  servicios                                                                                                                                                                                        ,COBRAN MUCHAS COMISIONES,
hacen cargos adicionales a cosas que nunca solicite                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
siento que es muy caro y exigentes para cobrar                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
el interes es muy alto                                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
porque en Coopel son demásiados abusivos y terminas pagando de más                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
