FRASEO,P12a_COD1,P12a_COD2
No me interesa pedir.un prestamo                                                                                                                                                                                                                               ,NO ME INTERESA UN CRÉDITO,
considero que no es un buen banco para mis ingresos                                                                                                                                                                                                            ,NO ME GUSTA EL BANCO,
"porque no tengo la necesidad de pedir prestamo, tengo a mis padres que me pueden ayudar                                                                                                                                                                        ",NO ME INTERESA UN CRÉDITO,
hay muy pocos bancos aqui donde vivo de ese banco                                                                                                                                                                                                              ,TIENE POCAS SUCURSALES/CAJEROS,
Porque hay muchos intereses                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
Muchos intereses                                                                                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
Todos me parecen bien                                                                                                                                                                                                                                          ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
cobran mucho                                                                                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
porque no hay muchos bancos aca y ademad pagas poquito y semanal ya te rinde más tu dinero                                                                                                                                                                    ,TIENE POCAS SUCURSALES/CAJEROS,
Porque ahí he comprado mi celular a credito                                                                                                                                                                                                                   ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
No me gusta sacar préstamo o crédito con tiendas que venden productos                                                                                                                                                                                        ,NO ME INTERESA UN CRÉDITO,
No hay uno cercas                                                                                                                                                                                                                                              ,TIENE POCAS SUCURSALES/CAJEROS,
Piensa q ue no es un banco confiable                                                                                                                                                                                                                           ,NO ME DA CONFIANZA,
Son muy altos los intereses                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
"porque si no paga, dice que le ponen recargos                                                                                                                                                                                                                  ",LOS INTERESES SON ALTOS,
"Nunca a tenido préstamos allá,  pero por los malos  comentarios de sus conocidos, no lo solicitaría.                                                                                                                                                        ",ME HAN DADO MALAS REFERENCIAS DEL BANCO,
No se le hace un banco seguro                                                                                                                                                                                                                                  ,NO ME DA CONFIANZA,
porque los ingresos de su esposo son muy pocos y no puede tener un crédito                                                                                                                                                                                    ,PIDEN MUCHOS REQUISITOS,
piden muchos requisitos                                                                                                                                                                                                                                        ,PIDEN MUCHOS REQUISITOS,
"Los intereses que manejan, son altos                                                                                                                                                                                                                           ",LOS INTERESES SON ALTOS,
"Porque cree que los bancos piden muchos requisitos y sus intereses son demasiado altos, imposibles de pagar.                                                                                                                                                   ",PIDEN MUCHOS REQUISITOS,LOS INTERESES SON ALTOS
"porque no hay aquí, tendría que ir a Mérida cada vez que necesite pagar                                                                                                                                                                                     ",TIENE POCAS SUCURSALES/CAJEROS,
malas experiencias en cobros y publicidad engañosa                                                                                                                                                                                                            ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
tasa de interés muy alta                                                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
Pues porque su taza de interés es alta y los servicios no son buenos.                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
te dan muchos peros                                                                                                                                                                                                                                            ,PIDEN MUCHOS REQUISITOS,
me han dicho que da problemas                                                                                                                                                                                                                                  ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
dicen que te comen los intereses                                                                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
ya lo conozco                                                                                                                                                                                                                                                  ,NO ME GUSTA EL BANCO,
es fácil de tramitar                                                                                                                                                                                                                                          ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
no conozco bien                                                                                                                                                                                                                                                ,FALTA INFORMACIÓN DEL BANCO,
no se realmente de bancos                                                                                                                                                                                                                                      ,NO SABE/NO CONTESTO,
ahí tengo mi nomina                                                                                                                                                                                                                                           ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
"Porque aca hay muchas personas que tienen prestamos grupales y muchas veces las otras personas quedan mal, y nosotros que si pagamos bien, quedamos debiendo por ellos                                                                                         ",MALA ATENCIÓN Y SERVICIO,
"porque son muy rateros, cobran mucho de interés y aparte si te atrasas casi te doblan la suma que debes                                                                                                                                                       ",LOS INTERESES SON ALTOS,
mucha tasa de interés                                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
Pues porque es el banco que maneja el interés más alto y presta muy poca cantidad.                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
sus intereses son muy elevados                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
siento que no es de confianza                                                                                                                                                                                                                                  ,NO ME DA CONFIANZA,
no me da confianza ese banco ademas considero q sus intereses son altos                                                                                                                                                                                        ,NO ME DA CONFIANZA,LOS INTERESES SON ALTOS
porque si                                                                                                                                                                                                                                                      ,NO SABE/NO CONTESTO,
cobran mucho me dejan en la calle son muchos intereses                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
"No me gustan los prestamos en ningun banco, porque venimos pagando más del doble del dinero que nos dieron, por eso trato de siempre tener un dinero guardado para no repagar tanto                                                                           ",NO ME INTERESA UN CRÉDITO,
Porque son muy elevados y duras mucho tiempo pagando y genera más interés                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
porque no tiene a un la necesidad de hacerlo                                                                                                                                                                                                                   ,NO ME INTERESA UN CRÉDITO,
porque piensa que le suben mucho a sus cuentas                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
porque piensa que le cobrarían de más                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
porque no le gusta ese banco                                                                                                                                                                                                                                   ,NO ME GUSTA EL BANCO,
No le agrada el sistema                                                                                                                                                                                                                                        ,NO ME INTERESA UN CRÉDITO,
tasa de interés alta                                                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
se paga mucho                                                                                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
"no me gustan ese banco porque extienden los prestamos más de 10000, y queda uno endeudado por 3 o más años, en cambio en Banco Azteca,puedo sacar desde $1000, y rapido lo termino de pagar                                                                 ",LOS INTERESES SON ALTOS,
no hay sucursales ni si quiera en el estado                                                                                                                                                                                                                    ,TIENE POCAS SUCURSALES/CAJEROS,
me han platicado que tiene intereses muy altos y que te deja pobre                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,
Cuando quize sacar un crédito erá muy caro.                                                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
Por los pocos servicios que ofrece                                                                                                                                                                                                                             ,MALA ATENCIÓN Y SERVICIO,
Por la taza de interés.                                                                                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
Tienes malas referencias de sus crèditos.                                                                                                                                                                                                                     ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
Por la taza de interés muy elevados                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
Es muy caro la taza de interés que ofrece el banco y de baja rwputación                                                                                                                                                                                      ,NO ME DA CONFIANZA,LOS INTERESES SON ALTOS
Por lo caro que sale en obtener un crédito                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
Se me hace una exageración todo lo que te llegan a cobrar por un crédito que a veces es mas del doble.                                                                                                                                                       ,LOS INTERESES SON ALTOS,
"porque debe, y porque no hay sucursales cercanas                                                                                                                                                                                                               ",TIENE POCAS SUCURSALES/CAJEROS,
porque puedo sacar un crédito y ir pagando poco a poco                                                                                                                                                                                                        ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
pienso que podría ser una empresa que podría desaparecer                                                                                                                                                                                                     ,NO ME DA CONFIANZA,
por que no lo conozco prefiero uno que sepa que beneficios obtengo                                                                                                                                                                                             ,FALTA INFORMACIÓN DEL BANCO,
no sabia que existia                                                                                                                                                                                                                                           ,NO SABE/NO CONTESTO,
porque luego sale mas caro y dificil y pierdes tiempo                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
por drsconfianza no tiene mucho tiempo dando servicio                                                                                                                                                                                                          ,NO ME DA CONFIANZA,
no lo conozco ni me da confianza perder mi dinero                                                                                                                                                                                                              ,FALTA INFORMACIÓN DEL BANCO,NO ME DA CONFIANZA
no tiene muchas sucursales                                                                                                                                                                                                                                     ,TIENE POCAS SUCURSALES/CAJEROS,
