"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","P11","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"21","P11.Inversi.n.para.el.negocio","48","3.8","35","4.1","13","3.2","25","3.9","23","3.7","13","5.7","6","2.2","6","2.4","14","5.8","9","3.4","7","2.5","14","3.7","17","4.9","10","4","7","3.9","6","4.2","2","1.9","7","3.6","4","2.9","7","7","6","4.2","8","5","1","1.1","9","3.5","4","3.1","6","4.2","14","5","10","3.7","5","2.7","2","1.4","9","3.5","8","4.5","6","7","6","6.1","4","4.8"
"22","P11.Pr.stamo.hipotecario","19","1.5","16","1.9","3","0.7","8","1.3","11","1.8","5","2.2","3","1.1","3","1.2","4","1.7","4","1.5","2","0.7","7","1.9","7","2","3","1.2","5","2.8","1","0.7","0","0","9","4.6","0","0","1","1","2","1.4","0","0","1","1.1","2","0.8","3","2.4","1","0.7","3","1.1","5","1.8","5","2.7","2","1.4","4","1.6","4","2.3","2","2.3","2","2","2","2.4"
"23","P11.Cr.dito.automotriz","51","4.1","33","3.9","18","4.4","30","4.7","21","3.4","12","5.3","9","3.2","10","4.1","11","4.6","9","3.4","14","4.9","20","5.3","13","3.7","4","1.6","6","3.3","0","0","1","0.9","4","2.1","11","8","8","8","6","4.2","5","3.1","10","10.8","12","4.7","1","0.8","10","7","10","3.6","15","5.5","3","1.6","7","4.7","14","5.4","1","0.6","0","0","7","7.1","4","4.8"
"24","P11.Pr.stamos.de.nomina","34","2.7","30","3.5","4","1","19","3","15","2.4","3","1.3","6","2.2","10","4.1","11","4.6","4","1.5","8","2.8","13","3.5","3","0.9","10","4","0","0","3","2.1","9","8.5","2","1","7","5.1","2","2","4","2.8","4","2.5","3","3.2","2","0.8","3","2.4","7","4.9","10","3.6","8","2.9","4","2.2","3","2","7","2.7","9","5.1","2","2.3","6","6.1","3","3.6"
"25","P11.Pr.stamo.para.gastos.personale","78","6.2","51","6","27","6.6","37","5.8","41","6.6","9","3.9","15","5.4","16","6.5","17","7.1","21","7.9","13","4.6","28","7.5","19","5.4","18","7.2","9","5","7","4.9","28","26.4","7","3.6","4","2.9","6","6","7","4.9","7","4.4","3","3.2","14","5.5","5","3.9","11","7.7","20","7.2","13","4.8","15","8.1","4","2.7","13","5.1","17","9.6","3","3.5","7","7.1","7","8.4"
"26","P11.Tarjeta.de.debito","44","3.5","25","2.9","19","4.6","23","3.6","21","3.4","8","3.5","15","5.4","7","2.9","5","2.1","9","3.4","18","6.3","11","2.9","5","1.4","10","4","9","5","2","1.4","2","1.9","2","1","7","5.1","3","3","0","0","19","11.9","0","0","16","6.3","1","0.8","7","4.9","5","1.8","7","2.6","8","4.3","2","1.4","13","5.1","7","4","0","0","2","2","1","1.2"
"27","P11.OTRO...Especificar","76","6","47","5.5","29","7.1","39","6.1","37","6","10","4.4","12","4.3","16","6.5","22","9.1","16","6","11","3.9","23","6.1","19","5.4","23","9.2","18","9.9","5","3.5","0","0","12","6.2","20","14.6","5","5","10","6.9","0","0","6","6.5","18","7.1","3","2.4","20","14.1","16","5.8","11","4","8","4.3","8","5.4","13","5.1","10","5.6","1","1.2","13","13.3","2","2.4"
"28","Total","1258","100","849","100","409","100","638","100","620","100","228","100","278","100","245","100","241","100","266","100","284","100","374","100","349","100","251","100","181","100","144","100","106","100","194","100","137","100","100","100","144","100","159","100","93","100","254","100","127","100","142","100","278","100","272","100","185","100","148","100","257","100","177","100","86","100","98","100","83","100"
"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","P114","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
