"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"1","Banco Azteca","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"128","NO SABE/NO CONTESTO","1","1","1","1.4","0","0","1","1.8","0","0","0","0","0","0","0","0","0","0","1","7.1","0","0","0","0","1","3.6","0","0","0","0","0","0","1","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","1","4.8","0","0","0","0","0","0"
"129","NO TENGO PROBLEMA, SI LO SOLICITARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","COBRAN MUCHAS COMISIONES","1","1","1","1.4","0","0","1","1.8","0","0","0","0","1","4.3","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","1","25","0","0","0","0","0","0","0","0","0","0","0","0","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","20","0","0"
"131","PIDEN MUCHOS REQUISITOS","2","2","1","1.4","1","3.4","1","1.8","1","2.2","0","0","0","0","1","4.3","1","4.3","0","0","0","0","0","0","1","3.6","1","5","0","0","1","6.7","0","0","1","7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","4.3","0","0","0","0","0","0","1","4.8","0","0","0","0","0","0"
"132","NO ME INTERESA UN CRÉDITO","6","5.9","3","4.1","3","10.3","3","5.4","3","6.5","1","5.3","3","13","2","8.7","0","0","0","0","1","4.2","3","10","2","7.1","0","0","0","0","1","6.7","1","7.1","0","0","0","0","0","0","0","0","2","11.1","2","25","0","0","3","23.1","1","20","1","3","0","0","1","5.9","0","0","0","0","0","0","2","20","0","0","1","9.1"
"133","NO ME GUSTA EL BANCO","1","1","1","1.4","0","0","1","1.8","0","0","0","0","0","0","0","0","0","0","1","7.1","0","0","0","0","1","3.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12.5","0","0","1","7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9.1"
"134","NO SOY SUJETO DE CRÉDITO","2","2","2","2.7","0","0","1","1.8","1","2.2","0","0","0","0","1","4.3","0","0","1","7.1","1","4.2","0","0","1","3.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11.1","0","0","0","0","2","15.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","20","0","0","0","0"
"135","NO CUBRE MIS NECESIDADES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","ES UN BANCO PARA GENTE RICA","2","2","1","1.4","1","3.4","2","3.6","0","0","0","0","0","0","1","4.3","1","4.3","0","0","0","0","2","6.7","0","0","0","0","0","0","1","6.7","0","0","1","7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4.3","1","5.9","1","7.7","0","0","0","0","0","0","0","0","0","0"
"137","POR LOS PLAZOS Y FRECUENCIA DE PAGOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
